ausflugId;min;max;kosten;kategorien;ideen;
Skifahren;1;;ab CHF 50;Winter, Outdoor;Arosa-Lenzerheide, Davos, Engelberg;
Schlitteln;1;;unter CHF 50;Winter, Outdoor;Bergün, Lenzerheide, Rigi;
Schlittschuhlaufen;1;;unter CHF 25;Winter, Outdoor;Dolder Kunsteisbahn, ICE MAGIC Interlaken, Eisweg Engadin;
Snow Tube;2;;unter CHF 25;Winter, Outdoor;;
Langlaufen;1;;ab CHF 50;Winter, Outdoor;;
Übernachtung im Iglu;1;;ab CHF 50;Winter, Outdoor;Adelboden;
Schneetöff ;1;;ab CHF 50;Winter, Outdoor;;
Fonduetram;2;;ab CHF 50;Winter, Indoor;Fonduetram Zürich, Fonduetram Bern;
Spazieren;1;;gratis;Gemütlich, Outdoor;;
Velotour;1;;gratis;Outdoor, Sport;;
Volleyball;2;;gratis;Indoor, Outdoor;;
Wandern;1;;gratis;Outdoor, Sport;;
Fussball;2;;gratis;Outdoor, Sport;;
Minigolf ;2;;unter CHF 25;Indoor, Outdoor;;
Zoo;1;;unter CHF 25;Gemütlich, Outdoor;;
Squashen;2;;unter CHF 25;Indoor, Sport;;
Museum;1;;unter CHF 25;Gemütlich, Indoor;Museum für Gestaltung, Fondation Beyeler, Kunsmuseum Zürich;
Konzert ;1;;ab CHF 50;Indoor, Outdoor;;
Theater;1;;ab CHF 50;Indoor;;
Kino;1;;unter CHF 25;Indoor;;
Bowling;2;;unter CHF 25;Indoor;;
Wellness;1;;ab CHF 50;Indoor, Entspannen;;
Aquapark;1;;unter CHF 50;Indoor, Action;;
Rodeln;1;;unter CHF 25;Outdoor, Action;;
Klettern;1;;unter CHF 25;Indoor, Outdoor, Sport, Action;;
Bouldern;1;;unter CHF 25;Indoor, Sport;;
Seilpark;1;;unter CHF 25;Outdoor, Sport, Action;;
Zipline;1;;ab CHF 50;Outdoor, Sport, Action;;
Backen;1;;unter CHF 25;Gemütlich, Indoor;;
Picknicken;2;;unter CHF 25;Gemütlich, Outdoor;;
Cocktails mixen;1;;unter CHF 50;Gemütlich, Indoor. Drinks;;
Film schauen;1;;gratis;Gemütlich, Indoor;;
neue Serie beginnen;1;;gratis;Gemütlich, Indoor;;
Spielabend;2;;gratis;Gemütlich, Indoor;;
Essen gehen;1;;unter CHF 50;Indoor, Essen;;
Kochkurs;1;;ab CHF 50;Indoor;;
Pub Crawl;1;;unter CHF 25;Indoor, Pubs, Bars;;
Wanderung mit Übernachtung in SAC Hütte;1;;unter CHF 50;Outdoor, Sport;;
Escape Room;2;;unter CHF 50;Action, Indoor;;
Grillabend;2;;unter CHF 50;Outdoor, Gemütlich;;
Grand Tour of Switzerland;1;;gratis;Outdoor;;
Streetfood Festival;1;;gratis;Sommer, Outdoor;;
Streetparade;1;;gratis;Sommer, Outdoor;;
Wildpark;1;;gratis;Outdoor;;
Juckerfarm;1;;gratis;Outdoor;;
Schlucht besuchen;1;;gratis;Outdoor;;
Tischtennis;2;;gratis;Outdoor, Sport;;
Baden in See / Fluss;1;;gratis;Outdoor;;
Bötle;2;;gratis;Outdoor;;
Fallschirmspringen;1;;ab CHF 50;Outdoor, Sport, Action;;
Alpaka Trekking;2;;ab CHF 50;Outdoor;;
