ausflugId	min	max	kosten	kategorien	ideen
Skifahren	1	3	100	Winter,Outdoor	Arosa-Lenzerheide, Davos, Engelberg
Schlitteln	1	3	50	Winter,Outdoor	Bergün, Lenzerheide, Rigi
Schlittschuhlaufen	1	3	25	Winter,Outdoor	Dolder Kunsteisbahn, ICE MAGIC Interlaken, Eisweg Engadin
Snow Tube	2	3	25	Winter,Outdoor	
Langlaufen	1	3	100	Winter,Outdoor	
Übernachtung im Iglu	1	3	100	Winter,Outdoor	Adelboden
Schneetöff 	1	3	100	Winter,Outdoor	
Fonduetram	2	3	100	Winter,Indoor	Fonduetram Zürich, Fonduetram Bern
Spazieren	1	3	0	Gemütlich,Outdoor	
Velotour	1	3	0	Outdoor,Sport	
Volleyball	2	3	0	Indoor,Outdoor	
Wandern	1	3	0	Outdoor,Sport	
Fussball	2	3	0	Outdoor,Sport	
Minigolf 	2	3	25	Indoor,Outdoor	
Zoo	1	3	25	Gemütlich,Outdoor	
Squashen	2	3	25	Indoor,Sport	
Museum	1	3	25	Gemütlich,Indoor	Museum für Gestaltung, Fondation Beyeler, Kunsmuseum Zürich
Konzert 	1	3	100	Indoor,Outdoor	
Theater	1	3	100	Indoor	
Kino	1	3	25	Indoor	
Bowling	2	3	25	Indoor	
Wellness	1	3	100	Indoor,Entspannen	
Aquapark	1	3	50	Indoor,Action	
Rodeln	1	3	25	Outdoor,Action	
Klettern	1	3	25	Indoor,Outdoor, Sport,Action	
Bouldern	1	3	25	Indoor,Sport	
Seilpark	1	3	25	Outdoor,Sport,Action	
Zipline	1	3	100	Outdoor,Sport,Action	
Backen	1	3	25	Gemütlich,Indoor	
Picknicken	2	3	25	Gemütlich,Outdoor	
Cocktails mixen	1	3	50	Gemütlich,Indoor,Drinks	
Film schauen	1	3	0	Gemütlich,Indoor	
neue Serie beginnen	1	3	0	Gemütlich,Indoor	
Spielabend	2	3	0	Gemütlich,Indoor	
Essen gehen	1	3	50	Indoor,Essen	
Kochkurs	1	3	100	Indoor	
Pub Crawl	1	3	25	Indoor,Pubs/Bar/Club	
Wanderung mit Übernachtung in SAC Hütte	1	3	50	Outdoor,Sport	
Escape Room	2	3	50	Action,Indoor	
Grillabend	2	3	50	Outdoor,Gemütlich	
Grand Tour of Switzerland	1	3	0	Outdoor	
Streetfood Festival	1	3	0	Sommer,Outdoor	
Streetparade	1	3	0	Sommer,Outdoor	
Wildpark	1	3	0	Outdoor	
Juckerfarm	1	3	0	Outdoor	
Schlucht besuchen	1	3	0	Outdoor	
Tischtennis	2	3	0	Outdoor,Sport	
Baden in See / Fluss	1	3	0	Outdoor,Sommer	
Bötle	2	3	0	Outdoor,Sommer	
Fallschirmspringen	1	3	100	Outdoor,Sport,Action	
Alpaka Trekking	2	3	100	Outdoor	
Buch lesen	1	1	0	Gemütlich,Indoor,Outdoor	
Club	1	3	50	Indoor,Pubs/Bar/Club	
